"","Sample","Method_other","value_other","value_panctc","Metr"
"99","WBC_GSE94820+BC_GSE86978_SC","copykat",0.463348416289593,0.990950226244344,"Specificity"
"100","WBC_GSE94820+HCC_CNP0000095_SC","copykat",0,0.990950226244344,"Specificity"
"101","WBC_GSE94820+MELA_GSE157740_SC","copykat",0.462443438914027,0.990950226244344,"Specificity"
"102","WBC_GSE94820+MELA_GSE157743_SC1","copykat",1,0.990950226244344,"Specificity"
"103","WBC_GSE94820+MELA_GSE157743_SC2","copykat",0.537556561085973,0.990950226244344,"Specificity"
"104","WBC_GSE94820+NSCLC_GSE74639_SC","copykat",0.163800904977376,0.990950226244344,"Specificity"
"105","WBC_GSE94820+PC_GSE67980_SC","copykat",1,0.990950226244344,"Specificity"
"106","WBC_GSE94820+BC_GSE144494_CL","CTCTracer",0,0.990950226244344,"Specificity"
"107","WBC_GSE94820+BC_GSE144494_SC","CTCTracer",0,0.990950226244344,"Specificity"
"108","WBC_GSE94820+BC_GSE144495_SC","CTCTracer",0,0.990950226244344,"Specificity"
"109","WBC_GSE94820+BC_GSE51827_CL","CTCTracer",0,0.990950226244344,"Specificity"
"110","WBC_GSE94820+BC_GSE51827_SC","CTCTracer",0,0.990950226244344,"Specificity"
"111","WBC_GSE94820+BC_GSE55807_SC","CTCTracer",0,0.990950226244344,"Specificity"
"112","WBC_GSE94820+BC_GSE75367_SC","CTCTracer",0,0.990950226244344,"Specificity"
"113","WBC_GSE94820+BC_GSE86978_CL","CTCTracer",0,0.990950226244344,"Specificity"
"114","WBC_GSE94820+BC_GSE86978_SC","CTCTracer",0,0.990950226244344,"Specificity"
"115","WBC_GSE94820+HCC_CNP0000095_SC","CTCTracer",0,0.990950226244344,"Specificity"
"116","WBC_GSE94820+MELA_GSE157740_SC","CTCTracer",0,0.990950226244344,"Specificity"
"117","WBC_GSE94820+MELA_GSE157743_SC1","CTCTracer",0,0.990950226244344,"Specificity"
"118","WBC_GSE94820+MELA_GSE157743_SC2","CTCTracer",0,0.990950226244344,"Specificity"
