"","Accuracy","Sample","Immune cells added","Group","variable","value","Group2"
"100",0.987998588069185,"predict_GSE155698_Healthy_PBMC_1_HCC_CNP0000095_SC_n113.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",0.699115044247788,"Single CTC"
"101",1,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157740_SC_n13.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",1,"Single CTC"
"102",0.993919885550787,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157743_SC1_n76.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",0.776315789473684,"Single CTC"
"103",1,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157743_SC2_n20.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",1,"Single CTC"
"104",1,"predict_GSE155698_Healthy_PBMC_1_NSCLC_GSE74639_SC_n10.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",1,"Single CTC"
"105",1,"predict_GSE155698_Healthy_PBMC_1_PC_GSE67980_SC_n77.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",1,"Single CTC"
"106",0.99957507082153,"predict_GSE199994_HD1_BC_GSE144494_CL_n28.csv","GSE199994 HD1
n=7032","CTC cluster","Sensitivity",0.892857142857143,"CTC cluster"
"107",0.996918335901387,"predict_GSE199994_HD1_BC_GSE144494_SC_n107.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.794392523364486,"Single CTC"
"108",0.996779162582271,"predict_GSE199994_HD1_BC_GSE144495_SC_n109.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.788990825688073,"Single CTC"
"109",0.999858075503832,"predict_GSE199994_HD1_BC_GSE51827_CL_n14.csv","GSE199994 HD1
n=7032","CTC cluster","Sensitivity",0.928571428571429,"CTC cluster"
"110",0.999716191287073,"predict_GSE199994_HD1_BC_GSE51827_SC_n15.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.866666666666667,"Single CTC"
"111",1,"predict_GSE199994_HD1_BC_GSE55807_SC_n6.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",1,"Single CTC"
"112",0.997885238967997,"predict_GSE199994_HD1_BC_GSE75367_SC_n61.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.754098360655738,"Single CTC"
"113",0.999574709384746,"predict_GSE199994_HD1_BC_GSE86978_CL_n22.csv","GSE199994 HD1
n=7032","CTC cluster","Sensitivity",0.863636363636364,"CTC cluster"
"114",0.99873006914068,"predict_GSE199994_HD1_BC_GSE86978_SC_n55.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.836363636363636,"Single CTC"
"115",0.995241427571729,"predict_GSE199994_HD1_HCC_CNP0000095_SC_n113.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.699115044247788,"Single CTC"
"116",1,"predict_GSE199994_HD1_MELA_GSE157740_SC_n13.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",1,"Single CTC"
"117",0.997608328643782,"predict_GSE199994_HD1_MELA_GSE157743_SC1_n76.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",0.776315789473684,"Single CTC"
"118",1,"predict_GSE199994_HD1_MELA_GSE157743_SC2_n20.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",1,"Single CTC"
"119",1,"predict_GSE199994_HD1_NSCLC_GSE74639_SC_n10.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",1,"Single CTC"
"120",1,"predict_GSE199994_HD1_PC_GSE67980_SC_n77.csv","GSE199994 HD1
n=7032","Single CTC","Sensitivity",1,"Single CTC"
"121",0.999700837654567,"pseudoPBMC_10000_BC_GSE144494_CL_n28.csv","Immune cells
n=10000","CTC cluster","Precision",1,"CTC cluster"
"122",0.997823290788562,"pseudoPBMC_10000_BC_GSE144494_SC_n107.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"123",0.99772479968345,"pseudoPBMC_10000_BC_GSE144495_SC_n109.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"124",0.999900139804274,"pseudoPBMC_10000_BC_GSE51827_CL_n14.csv","Immune cells
n=10000","CTC cluster","Precision",1,"CTC cluster"
"125",0.999800299550674,"pseudoPBMC_10000_BC_GSE51827_SC_n15.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"126",1,"pseudoPBMC_10000_BC_GSE55807_SC_n6.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
